road_SPREAD,road_Rolling 3P,road_Rolling TOT,road_Rolling ST,road_Rolling TO,road_Rolling BL,road_Rolling PTS,road_Rolling FG%,road_Rolling FT%,home_Rolling 3P,home_Rolling TOT,home_Rolling ST,home_Rolling TO,home_Rolling BL,home_Rolling PTS,home_Rolling FG%,home_Rolling FT%,home team win
2,10.4,25.8,7.8,12.8,6.2,102.6,0.485044515,0.775878239,7,17.6,6.6,15.2,3.2,93.8,0.440158536,0.798834055,0
-8.5,8.8,22,9,15.4,5,105.8,0.498992518,0.83504628,7,18,8.6,17.2,3.8,94,0.45348784,0.768514133,0
3.5,3.8,17,4.2,15.8,3,86.6,0.384152812,0.725934268,6.6,20.6,9.4,12.8,4,97.6,0.468674056,0.690564653,0
8,7.4,22,8.8,16.2,4.2,91.2,0.437267599,0.758703704,10.6,23.2,7,17.4,7.2,111.2,0.527997966,0.739604377,1
-2.5,6.8,25.4,8.2,12.2,4,100.8,0.473783256,0.872027972,6.4,22.8,6.8,16.8,4.2,86.8,0.406438679,0.729786325,0
7,8.8,23.2,7.6,14,5.6,106.6,0.475711752,0.652671566,7.4,21.2,9.6,12.8,3.6,98.8,0.390997697,0.78576359,0
2.5,9,26.2,9.8,15.4,5.2,107,0.518372649,0.745935615,7.2,22,6.8,15,5.2,104.4,0.472353178,0.769340159,1
4.5,8,21.8,5.6,15,4.2,95.4,0.43615995,0.664761905,7.8,21.2,8,15,5,103.8,0.478322184,0.813586009,1
-4,10,22.4,7.4,13,5.4,102.4,0.445250017,0.82987013,10.8,19.6,7.6,15.6,4.8,100.8,0.453728543,0.61167692,1
9.5,8.2,19.6,7.2,12,3.4,90.4,0.413614304,0.678832866,9.2,24.8,7.4,13.2,4.2,103.8,0.474575889,0.681586257,1
5,6.8,24.4,6.8,18,3.2,89.4,0.423730061,0.743119658,3.8,16.4,6,15.2,4.2,88.4,0.422546862,0.682279942,1
-9,9.6,26.2,10.4,14.4,4.8,106.4,0.504528255,0.719961589,8.6,22.6,8.6,16.2,4.4,100.2,0.473780837,0.810065681,0
-6,8.4,23,10.2,15.2,4.8,105.4,0.494765465,0.820437584,7.6,20,6,14.2,5.4,98.8,0.425865622,0.798810586,0
-1.5,7.4,21.4,8.2,12.2,3.6,105,0.480031586,0.819739855,6.8,21.8,8.8,15,4.4,90.4,0.433411743,0.772037037,1
4,8.2,18,8,17.8,3,94.8,0.4423547,0.760670996,5.8,16.6,4.8,16.2,4.6,91.6,0.456706875,0.809478514,1
5.5,11,25,7.6,12.6,6,105.2,0.477544515,0.830423694,5.6,19.2,10.4,12.8,4,95,0.456985744,0.642444352,0
10.5,8.6,19.4,6,16.2,4.4,93,0.441916155,0.771801088,11.6,22.8,7.4,16.8,6,109.4,0.537019808,0.72250481,1
7.5,7.4,22,5,15.8,4.2,95.6,0.439357818,0.671036415,6.2,22.8,7,14.4,5.8,100.2,0.462710321,0.757911587,1
10,7.4,24.6,9,13.8,3.4,100,0.477312668,0.817482517,7.6,18.8,9.2,16.6,6.2,100.6,0.437984969,0.759277176,1
